Curso;Slot;Asignatura;Grupo;Aula;Hora;Codigo
Primero;L10;Introducción al análisis matemático;CLE01;Aula 02;10:00-11:00;2
Primero;L10;Elementos de probabilidad y estadística;CLE02;Aula 03;10:00-11:00;3
Primero;L11;Introducción al análisis matemático;CLE01;Aula 02;11:00-12:00;2
Primero;L11;Lenguaje matemático, conjuntos y números;CLE02;Aula 03;11:00-12:00;4
Primero;L12;Lenguaje matemático, conjuntos y números;CLE01;Aula 02;12:00-13:00;4
Primero;L12;Introducción al análisis matemático;CLE02;Aula 03;12:00-13:00;2
Primero;L13;Elementos de probabilidad y estadística;CLE01;Aula 02;13:00-14:00;3
Primero;L13;Introducción al análisis matemático;CLE02;Aula 03;13:00-14:00;2
Primero;M09;Introducción al análisis matemático;CLE01;Aula 02;09:00-10:00;2
Primero;M10;Programación científica;CLE02;Aula 03;10:00-11:00;5
Primero;M10;Lenguaje matemático, conjuntos y números;CLE01;Aula 02;10:00-11:00;4
Primero;M11;Lenguaje matemático, conjuntos y números;CLE02;Aula 03;11:00-12:00;4
Primero;M11;Introducción al análisis matemático;CLIL01;Aula 08;11:00-12:00;2
Primero;M11;Programación científica;CLIL03;Aula de informática 4;11:00-12:00;5
Primero;M11;Elementos de probabilidad y estadística;CLIL02;Aula de informática 3;11:00-12:00;3
Primero;M12;Introducción al análisis matemático;CLIL06;Aula 07;12:00-13:00;2
Primero;M12;Introducción al análisis matemático;CLIL02;Aula 08;12:00-13:00;2
Primero;M12;Elementos de probabilidad y estadística;CLIL03;Aula de informática 4;12:00-13:00;3
Primero;M12;Programación científica;CLIL01;Aula de informática 3;12:00-13:00;5
Primero;M12;Programación científica;CLIL04;Aula de informática 2;12:00-13:00;5
Primero;M12;Lenguaje matemático, conjuntos y números;CLIL05;Aula 09;12:00-13:00;4
Primero;M13;Programación científica;CLIL02;Aula de informática 4;13:00-14:00;5
Primero;M13;Introducción al análisis matemático;CLIL05;Aula 09;13:00-14:00;2
Primero;M13;Introducción al análisis matemático;CLIL03;Aula 08;13:00-14:00;2
Primero;M13;Elementos de probabilidad y estadística;CLIL01;Aula de informática 3;13:00-14:00;3
Primero;M13;Lenguaje matemático, conjuntos y números;CLIL06;Aula 07;13:00-14:00;4
Primero;X09;Elementos de probabilidad y estadística;CLIS03;Aula 07;09:00-10:00;3
Primero;X09;Lenguaje matemático, conjuntos y números;CLE01;Aula 03;09:00-10:00;4
Primero;X10;Lenguaje matemático, conjuntos y números;CLIL04;Aula 09;10:00-11:00;4
Primero;X10;Lenguaje matemático, conjuntos y números;CLIL03;Aula 08;10:00-11:00;4
Primero;X10;Elementos de probabilidad y estadística;CLIS04;Aula 07;10:00-11:00;3
Primero;X10;Introducción al análisis matemático;CLIL01;Aula 05;10:00-11:00;2
Primero;X10;Programación científica;CLIL02;Aula de informática 3;10:00-11:00;5
Primero;X11;Programación científica;CLIL02;Aula de informática 3;11:00-12:00;5
Primero;X11;Lenguaje matemático, conjuntos y números;CLIL01;Aula 05;11:00-12:00;4
Primero;X11;Introducción al análisis matemático;CLIL03;Aula 08;11:00-12:00;2
Primero;X11;Elementos de probabilidad y estadística;CLE02;Aula 03;11:00-12:00;3
Primero;X12;Programación científica;CLE01;Aula 03;12:00-13:00;5
Primero;X12;Programación científica;CLIL06;Aula de informática 2;12:00-13:00;5
Primero;X12;Lenguaje matemático, conjuntos y números;CLIL05;Aula 09;12:00-13:00;4
Primero;X13;Elementos de probabilidad y estadística;CLE01;Aula 03;13:00-14:00;3
Primero;X13;Introducción al análisis matemático;CLIL04;Aula 09;13:00-14:00;2
Primero;J09;Introducción al análisis matemático;CLIL05;Aula 08;09:00-10:00;2
Primero;J09;Introducción al análisis matemático;CLIL02;Aula 01;09:00-10:00;2
Primero;J09;Programación científica;CLIL01;Aula de informática 3;09:00-10:00;5
Primero;J10;Programación científica;CLIL01;Aula de informática 3;10:00-11:00;5
Primero;J10;Lenguaje matemático, conjuntos y números;CLIL02;Aula 01;10:00-11:00;4
Primero;J10;Lenguaje matemático, conjuntos y números;CLIL06;Aula 08;10:00-11:00;4
Primero;J10;Introducción al análisis matemático;CLIL04;Aula 09;10:00-11:00;2
Primero;J10;Programación científica;CLIL05;Aula de informática 2;10:00-11:00;5
Primero;J11;Programación científica;CLIL05;Aula de informática 2;11:00-12:00;5
Primero;J11;Lenguaje matemático, conjuntos y números;CLIL04;Aula 09;11:00-12:00;4
Primero;J11;Lenguaje matemático, conjuntos y números;CLE01;Aula 02;11:00-12:00;4
Primero;J11;Introducción al análisis matemático;CLIL06;Aula 08;11:00-12:00;2
Primero;J12;Elementos de probabilidad y estadística;CLIS02;Aula 07;12:00-13:00;3
Primero;J12;Introducción al análisis matemático;CLE02;Aula 03;12:00-13:00;2
Primero;J13;Lenguaje matemático, conjuntos y números;CLE02;Aula 03;13:00-14:00;4
Primero;J13;Elementos de probabilidad y estadística;CLIS01;Aula 07;13:00-14:00;3
Primero;V09;Introducción al análisis matemático;CLIL02;Aula 07;09:00-10:00;2
Primero;V09;Lenguaje matemático, conjuntos y números;CLIL01;Aula 01;09:00-10:00;4
Primero;V09;Programación científica;CLIL03;Aula de informática 2;09:00-10:00;5
Primero;V10;Programación científica;CLIL03;Aula de informática 2;10:00-11:00;5
Primero;V10;Lenguaje matemático, conjuntos y números;CLE02;Aula 03;10:00-11:00;4
Primero;V10;Lenguaje matemático, conjuntos y números;CLIL02;Aula 07;10:00-11:00;4
Primero;V10;Introducción al análisis matemático;CLIL01;Aula 01;10:00-11:00;2
Primero;V11;Programación científica;CLIL06;Aula de informática 3;11:00-12:00;5
Primero;V11;Introducción al análisis matemático;CLIL03;Aula 01;11:00-12:00;2
Primero;V11;Introducción al análisis matemático;CLIL05;Aula 07;11:00-12:00;2
Primero;V11;Elementos de probabilidad y estadística;CLIL04;Aula de informática 2;11:00-12:00;3
Primero;V12;Introducción al análisis matemático;CLIL06;Aula de informática 3;12:00-13:00;2
Primero;V12;Elementos de probabilidad y estadística;CLIL05;Aula de informática 4;12:00-13:00;3
Primero;V12;Lenguaje matemático, conjuntos y números;CLIL03;Aula 01;12:00-13:00;4
Primero;V12;Programación científica;CLIL04;Aula de informática 2;12:00-13:00;5
Primero;V13;Programación científica;CLIL05;Aula de informática 2;13:00-14:00;5
Primero;V13;Introducción al análisis matemático;CLIL04;Aula 07;13:00-14:00;2
Primero;V13;Elementos de probabilidad y estadística;CLIL06;Aula de informática 3;13:00-14:00;3
Segundo;L15;Física Básica;CLE02;Aula 03;15:00-16:00;6
Segundo;L15;Programación Lineal y Entera;CLE01;Aula 02;15:00-16:00;7
Segundo;L16;Diferenciación de Funciones de varias Variables Reales;CLE02;Aula 03;16:00-17:00;8
Segundo;L16;Física Básica;CLE01;Aula 02;16:00-17:00;6
Segundo;L17;Física Básica;CLIL04;Aula 07;17:00-18:00;6
Segundo;L17;Física Básica;CLIL01;Aula 03;17:00-18:00;6
Segundo;L17;Diferenciación de Funciones de varias Variables Reales;CLIS02;Aula 02;17:00-18:00;8
Segundo;L17;Programación Lineal y Entera;CLIS03;Aula 08;17:00-18:00;7
Segundo;L18;Física Básica;CLIL02;Aula 02;18:00-19:00;6
Segundo;L18;Física Básica;CLIL03;Aula 08;18:00-19:00;6
Segundo;L18;Programación Lineal y Entera;CLIS04;Aula 07;18:00-19:00;7
Segundo;L18;Diferenciación de Funciones de varias Variables Reales;CLIS01;Aula 09;18:00-19:00;8
Segundo;L19;Álgebra Lineal y Multilineal;CLE02;Aula 03;19:00-20:00;9
Segundo;L19;Álgebra Lineal y Multilineal;CLE01;Aula 02;19:00-20:00;9
Segundo;M15;Física Básica;CLE02;Aula 03;15:00-16:00;6
Segundo;M15;Programación Lineal y Entera;CLE01;Aula 02;15:00-16:00;7
Segundo;M16;Álgebra Lineal y Multilineal;CLE02;Aula 03;16:00-17:00;9
Segundo;M16;Física Básica;CLE01;Aula 02;16:00-17:00;6
Segundo;M17;Cálculo Numérico en una Variable;CLE01;Aula 02;17:00-18:00;10
Segundo;M17;Programación Lineal y Entera;CLE02;Aula 03;17:00-18:00;7
Segundo;M18;Diferenciación de Funciones de varias Variables Reales;CLE02;Aula 03;18:00-19:00;8
Segundo;M18;Diferenciación de Funciones de varias Variables Reales;CLE01;Aula 02;18:00-19:00;8
Segundo;M19;Cálculo Numérico en una Variable;CLE02;Aula 03;19:00-20:00;10
Segundo;M19;Álgebra Lineal y Multilineal;CLE01;Aula 02;19:00-20:00;9
Segundo;X15;Álgebra Lineal y Multilineal;CLIL05;Aula 09;15:00-16:00;9
Segundo;X15;Programación Lineal y Entera;CLIL06;Aula de informática 3;15:00-16:00;7
Segundo;X15;Programación Lineal y Entera;CLIS01;Aula 07;15:00-16:00;7
Segundo;X15;Física Básica;CLIL02;Aula 08;15:00-16:00;6
Segundo;X15;Cálculo Numérico en una Variable;CLIL05;Aula de informática 4;15:00-16:00;10
Segundo;X16;Cálculo Numérico en una Variable;CLIL05;Aula de informática 4;16:00-17:00;10
Segundo;X16;Álgebra Lineal y Multilineal;CLIL06;Aula 09;16:00-17:00;9
Segundo;X16;Programación Lineal y Entera;CLIL05;Aula de informática 3;16:00-17:00;7
Segundo;X16;Programación Lineal y Entera;CLIS02;Aula 08;16:00-17:00;7
Segundo;X16;Física Básica;CLIL01;Aula 07;16:00-17:00;6
Segundo;X17;Cálculo Numérico en una Variable;CLE01;Aula 02;17:00-18:00;10
Segundo;X17;Cálculo Numérico en una Variable;CLIL08;Aula de informática 4;17:00-18:00;10
Segundo;X17;Programación Lineal y Entera;CLIL04;Aula de informática 3;17:00-18:00;7
Segundo;X17;Diferenciación de Funciones de varias Variables Reales;CLIL07;Aula 09;17:00-18:00;8
Segundo;X18;Diferenciación de Funciones de varias Variables Reales;CLE01;Aula 02;18:00-19:00;8
Segundo;X18;Álgebra Lineal y Multilineal;CLIL04;Aula 09;18:00-19:00;9
Segundo;X18;Cálculo Numérico en una Variable;CLIL07;Aula de informática 3;18:00-19:00;10
Segundo;X19;Cálculo Numérico en una Variable;CLIL07;Aula de informática 3;19:00-20:00;10
Segundo;X19;Álgebra Lineal y Multilineal;CLE01;Aula 02;19:00-20:00;9
Segundo;X19;Diferenciación de Funciones de varias Variables Reales;CLIL06;Aula 09;19:00-20:00;8
Segundo;J15;Álgebra Lineal y Multilineal;CLIL01;Aula 09;15:00-16:00;9
Segundo;J15;Diferenciación de Funciones de varias Variables Reales;CLIL05;Aula 03;15:00-16:00;8
Segundo;J15;Programación Lineal y Entera;CLIL02;Aula de informática 3;15:00-16:00;7
Segundo;J15;Física Básica;CLIL04;Aula 02;15:00-16:00;6
Segundo;J15;Cálculo Numérico en una Variable;CLIL04;Aula de informática 4;15:00-16:00;10
Segundo;J16;Cálculo Numérico en una Variable;CLIL04;Aula de informática 4;16:00-17:00;10
Segundo;J16;Diferenciación de Funciones de varias Variables Reales;CLIL08;Aula 02;16:00-17:00;8
Segundo;J16;Física Básica;CLIL03;Aula 03;16:00-17:00;6
Segundo;J16;Álgebra Lineal y Multilineal;CLIL02;Aula 09;16:00-17:00;9
Segundo;J16;Programación Lineal y Entera;CLIL01;Aula de informática 3;16:00-17:00;7
Segundo;J17;Programación Lineal y Entera;CLIL03;Aula de informática 3;17:00-18:00;7
Segundo;J17;Diferenciación de Funciones de varias Variables Reales;CLIL02;Aula 09;17:00-18:00;8
Segundo;J17;Álgebra Lineal y Multilineal;CLE02;Aula 03;17:00-18:00;9
Segundo;J17;Cálculo Numérico en una Variable;CLIL01;Aula de informática 4;17:00-18:00;10
Segundo;J18;Cálculo Numérico en una Variable;CLIL01;Aula de informática 4;18:00-19:00;10
Segundo;J18;Programación Lineal y Entera;CLE02;Aula 03;18:00-19:00;7
Segundo;J18;Álgebra Lineal y Multilineal;CLIL03;Aula 09;18:00-19:00;9
Segundo;J18;Cálculo Numérico en una Variable;CLIL02;Aula de informática 3;18:00-19:00;10
Segundo;J19;Cálculo Numérico en una Variable;CLIL02;Aula de informática 3;19:00-20:00;10
Segundo;J19;Diferenciación de Funciones de varias Variables Reales;CLIL03;Aula 09;19:00-20:00;8
